Returned,Order ID,Region,matched_columns,matched_values
Yes,CA-2015-DO13645140-42343,Eastern US,Order ID,42343
Yes,IN-2014-ML177557-41922,Oceania,Order ID,41922
Yes,SA-2015-AR570110-42299,Western Asia,Order ID,42299
Yes,US-2015-LH16900140-42348,Central US,Order ID,42348
Yes,CA-2015-JE15745140-42111,Western US,Order ID,42111
Yes,CA-2013-MV17485140-41450,Central US,Order ID,41450
Yes,IT-2012-KH16690104-41037,Southern Europe,Order ID,41037
Yes,IN-2015-SL2015558-42222,Southern Asia,Order ID,42222
Yes,MX-2012-KM1672018-41242,South America,Order ID,41242
Yes,ID-2014-DB132107-41934,Oceania,Order ID,41934
Yes,IN-2012-CM1223527-41248,Eastern Asia,Order ID,41248
Yes,IN-2014-BD116207-41650,Oceania,Order ID,41650
Yes,CA-2015-OT18730140-42304,Southern US,Order ID,42304
Yes,AO-2013-JE57454-41544,Central Africa,Order ID,41544
Yes,EG-2014-SC1009538-41847,North Africa,Order ID,41847
Yes,ID-2013-GZ144707-41467,Oceania,Order ID,41467
Yes,ES-2015-MJ17740139-42073,Northern Europe,Order ID,42073
Yes,IR-2014-MM805560-41990,Southern Asia,Order ID,41990
Yes,IT-2014-TP2141545-41858,Western Europe,Order ID,41858
Yes,ID-2013-TG21640102-41508,Southeastern Asia,Order ID,41508
Yes,IN-2014-LS172307-41954,Oceania,Order ID,41954
Yes,IN-2012-GM1444058-41200,Southern Asia,Order ID,41200
Yes,TU-2012-AJ960134-40990,Western Asia,Order ID,40990
Yes,CA-2014-PF19225140-41817,Southern US,Order ID,41817
Yes,IN-2014-TB2162558-41724,Southern Asia,Order ID,41724
Yes,MX-2012-ND1837082-41223,Central America,Order ID,41223
Yes,ID-2015-MG1814592-42132,Oceania,Order ID,42132
Yes,CA-2014-CA12265140-41677,Southern US,Order ID,41677
Yes,SF-2012-MH7440117-41065,Southern Africa,Order ID,41065
Yes,MX-2012-AB1015093-41101,Central America,Order ID,41101
Yes,IZ-2015-EM396061-42110,Western Asia,Order ID,42110
Yes,IN-2015-AW1084058-42083,Southern Asia,Order ID,42083
Yes,ES-2015-PS1897045-42179,Western Europe,Order ID,42179
Yes,ES-2013-WB2185064-41587,Southern Europe,Order ID,41587
Yes,CA-2015-NC18535140-42096,Western US,Order ID,42096
Yes,MX-2014-LS1697518-41666,South America,Order ID,41666
Yes,IN-2012-SB2018559-41157,Southeastern Asia,Order ID,41157
Yes,ML-2014-BD177079-41893,Western Africa,Order ID,41893
Yes,MX-2015-CM1244582-42354,Central America,Order ID,42354
Yes,MX-2012-AW1084082-41192,Central America,Order ID,41192
Yes,MX-2015-CL1270093-42180,Central America,Order ID,42180
Yes,CA-2015-CC12475140-42278,Eastern US,Order ID,42278
Yes,MX-2014-AH1069093-41990,Central America,Order ID,41990
Yes,AO-2013-SF102004-41628,Central Africa,Order ID,41628
Yes,MX-2014-SZ2003518-41703,South America,Order ID,41703
Yes,EG-2015-RA994538-42342,North Africa,Order ID,42342
Yes,TU-2015-AG495134-42130,Western Asia,Order ID,42130
Yes,IN-2012-PR1888058-41013,Southern Asia,Order ID,41013
Yes,ES-2015-CS1235548-42010,Western Europe,Order ID,42010
Yes,IN-2015-MH1811558-42185,Southern Asia,Order ID,42185
Yes,IN-2015-JP1546058-42258,Southern Asia,Order ID,42258
Yes,IR-2015-CA196560-42201,Southern Asia,Order ID,42201
Yes,MX-2013-AF1087026-41536,South America,Order ID,41536
Yes,US-2012-JF15490140-41269,Western US,Order ID,41269
Yes,IN-2015-PS18760102-42263,Southeastern Asia,Order ID,42263
Yes,ES-2014-KT1646548-41678,Western Europe,Order ID,41678
Yes,ES-2014-MC1760548-41900,Western Europe,Order ID,41900
Yes,MX-2014-BE1145531-41650,Caribbean,Order ID,41650
Yes,CA-2015-BP11095140-42352,Eastern US,Order ID,42352
Yes,CG-2014-ML775533-41740,Central Africa,Order ID,41740
Yes,ID-2014-CV1280527-41773,Eastern Asia,Order ID,41773
Yes,SA-2013-RF9840110-41277,Western Asia,Order ID,41277
Yes,SF-2012-AG675117-40976,Southern Africa,Order ID,40976
Yes,US-2015-CR12820140-42284,Eastern US,Order ID,42284
Yes,ES-2013-MB1808545-41629,Western Europe,Order ID,41629
Yes,IN-2015-SC20260130-42032,Southeastern Asia,Order ID,42032
Yes,IN-2012-TS211607-41179,Oceania,Order ID,41179
Yes,IZ-2015-MO795061-42271,Western Asia,Order ID,42271
Yes,MX-2014-LL1684039-41853,Central America,Order ID,41853
Yes,ES-2013-EB14110139-41528,Northern Europe,Order ID,41528
Yes,CA-2015-BT11530140-42278,Western US,Order ID,42278
Yes,ES-2013-LC1714064-41409,Southern Europe,Order ID,41409
Yes,US-2013-DG13300140-41458,Eastern US,Order ID,41458
Yes,CA-2014-IG15085140-41808,Western US,Order ID,41808
Yes,ES-2015-LO17170139-42166,Northern Europe,Order ID,42166
Yes,IN-2015-SS2059059-42364,Southeastern Asia,Order ID,42364
Yes,AG-2014-CP20853-41889,North Africa,Order ID,41889
Yes,US-2012-AB1025582-40928,Central America,Order ID,40928
Yes,TU-2014-PK8910134-41798,Western Asia,Order ID,41798
Yes,IT-2015-JW1522091-42234,Western Europe,Order ID,42234
Yes,CA-2013-RH19510140-41544,Western US,Order ID,41544
Yes,ES-2014-DM13015120-41856,Southern Europe,Order ID,41856
Yes,NI-2013-JB600095-41621,Western Africa,Order ID,41621
Yes,US-2015-TC2114555-42166,Central America,Order ID,42166
Yes,IT-2013-DJ1351064-41352,Southern Europe,Order ID,41352
Yes,IN-2012-DB131207-41257,Oceania,Order ID,41257
Yes,IZ-2015-EH412561-42161,Western Asia,Order ID,42161
Yes,US-2013-KB16315140-41318,Eastern US,Order ID,41318
Yes,CA-2015-CV12805140-42025,Eastern US,Order ID,42025
Yes,MX-2015-AG1052518-42357,South America,Order ID,42357
Yes,IN-2012-MP179657-41242,Oceania,Order ID,41242
Yes,IN-2015-PG1882097-42251,Southern Asia,Order ID,42251
Yes,ES-2012-SW2024548-41073,Western Europe,Order ID,41073
Yes,IT-2012-MC1742548-41177,Western Europe,Order ID,41177
Yes,TU-2012-CS1845134-41235,Western Asia,Order ID,41235
Yes,CA-2015-SC20725140-42182,Eastern US,Order ID,42182
Yes,ES-2015-TP21415139-42251,Northern Europe,Order ID,42251
Yes,CA-2015-RA19915140-42357,Western US,Order ID,42357
Yes,ES-2014-SV2093545-41674,Western Europe,Order ID,41674
Yes,KZ-2015-RM975068-42228,Central Asia,Order ID,42228
Yes,KG-2015-RH955570-42340,Central Asia,Order ID,42340
Yes,IT-2015-JS1603045-42229,Western Europe,Order ID,42229
Yes,CA-2015-LW16990140-42336,Western US,Order ID,42336
Yes,IN-2015-SS2059059-42236,Southeastern Asia,Order ID,42236
Yes,IN-2012-LH1715559-40968,Southeastern Asia,Order ID,40968
Yes,US-2015-TT21220140-42186,Western US,Order ID,42186
Yes,SF-2015-RS9765117-42224,Southern Africa,Order ID,42224
Yes,ID-2014-JF153557-41649,Oceania,Order ID,41649
Yes,IT-2014-CA12310139-41961,Northern Europe,Order ID,41961
Yes,ES-2015-SL2015545-42335,Western Europe,Order ID,42335
Yes,IT-2014-DB1312091-41894,Western Europe,Order ID,41894
Yes,IT-2015-DB13555139-42063,Northern Europe,Order ID,42063
Yes,CA-2012-DB13360140-41231,Western US,Order ID,41231
Yes,CA-2013-NW18400140-41599,Western US,Order ID,41599
Yes,MX-2013-TB2128039-41278,Central America,Order ID,41278
Yes,ES-2012-JC1577548-41195,Western Europe,Order ID,41195
Yes,ES-2012-KB162408-41191,Western Europe,Order ID,41191
Yes,IN-2014-VF2171527-41819,Eastern Asia,Order ID,41819
Yes,MO-2015-AB60086-42173,North Africa,Order ID,42173
Yes,ID-2012-LH1715592-41091,Oceania,Order ID,41091
Yes,ES-2014-BP11230139-41970,Northern Europe,Order ID,41970
Yes,IN-2015-DF1313559-42360,Southeastern Asia,Order ID,42360
Yes,ES-2015-DK13375139-42082,Northern Europe,Order ID,42082
Yes,US-2015-RM197505-42122,South America,Order ID,42122
Yes,CA-2015-EH14125140-42035,Western US,Order ID,42035
Yes,IN-2013-DR12880144-41384,Southeastern Asia,Order ID,41384
Yes,IN-2015-RH196007-42179,Oceania,Order ID,42179
Yes,ES-2015-JW152208-42033,Western Europe,Order ID,42033
Yes,CA-2013-GB14530140-41583,Southern US,Order ID,41583
Yes,IN-2015-NK1849058-42154,Southern Asia,Order ID,42154
Yes,CA-2015-TD20995140-42118,Eastern US,Order ID,42118
Yes,MX-2014-JR1570039-41955,Central America,Order ID,41955
Yes,ID-2014-TB21280130-41884,Southeastern Asia,Order ID,41884
Yes,NG-2013-NB858094-41469,Western Africa,Order ID,41469
Yes,CA-2015-EP13915140-42316,Eastern US,Order ID,42316
Yes,ID-2015-JC1538592-42039,Oceania,Order ID,42039
Yes,ES-2014-AH10585139-41920,Northern Europe,Order ID,41920
Yes,MX-2015-CR1273051-42262,Central America,Order ID,42262
Yes,ES-2012-AB1016545-40957,Western Europe,Order ID,40957
Yes,ES-2014-AG1039045-41685,Western Europe,Order ID,41685
Yes,GG-2012-BS159047-41184,Western Asia,Order ID,41184
Yes,IN-2014-DW131957-41982,Oceania,Order ID,41982
Yes,IT-2014-BS1166562-41864,Northern Europe,Order ID,41864
Yes,IN-2013-MY1738058-41545,Southern Asia,Order ID,41545
Yes,MX-2012-KD1634518-40977,South America,Order ID,40977
Yes,IT-2013-CA1205591-41545,Western Europe,Order ID,41545
Yes,CA-2013-NF847523-41549,Western Canada,Order ID,41549
Yes,CA-2015-SG20605140-42120,Western US,Order ID,42120
Yes,US-2015-FW1439518-42306,South America,Order ID,42306
Yes,SG-2015-BE1410111-42348,Western Africa,Order ID,42348
Yes,CA-2015-LT17110140-42335,Eastern US,Order ID,42335
Yes,US-2013-AB10105101-41446,South America,Order ID,41446
Yes,SO-2014-GM4455116-41984,Eastern Africa,Order ID,41984
Yes,ES-2015-NH1861048-42299,Western Europe,Order ID,42299
Yes,CA-2013-AH10690140-41639,Central US,Order ID,41639
Yes,ML-2013-GW460579-41403,Western Africa,Order ID,41403
Yes,PL-2013-JF5190103-41443,Eastern Europe,Order ID,41443
Yes,ID-2013-TC2114527-41594,Eastern Asia,Order ID,41594
Yes,CA-2013-ES14020140-41384,Central US,Order ID,41384
Yes,IN-2012-SC2057559-41146,Southeastern Asia,Order ID,41146
Yes,CA-2013-SJ20215140-41461,Western US,Order ID,41461
Yes,ES-2015-PC1900045-42227,Western Europe,Order ID,42227
Yes,US-2013-KA1652582-41360,Central America,Order ID,41360
Yes,IZ-2015-JM525061-42235,Western Asia,Order ID,42235
Yes,MA-2012-TZ1144577-41037,Eastern Africa,Order ID,41037
Yes,US-2013-CD1198055-41594,Central America,Order ID,41594
Yes,IT-2015-JK1609048-42097,Western Europe,Order ID,42097
Yes,ES-2013-CS1225048-41579,Western Europe,Order ID,41579
Yes,CA-2014-BC11125140-41846,Western US,Order ID,41846
Yes,MX-2015-CM1211528-42296,South America,Order ID,42296
Yes,ES-2015-AM10705120-42213,Southern Europe,Order ID,42213
Yes,US-2013-LB1679555-41462,Central America,Order ID,41462
Yes,CA-2012-KN16390140-41244,Eastern US,Order ID,41244
Yes,MO-2015-LA678086-42168,North Africa,Order ID,42168
Yes,CA-2015-GM14455140-42353,Central US,Order ID,42353
Yes,ES-2012-DM1295548-41100,Western Europe,Order ID,41100
Yes,MX-2012-DM1301593-40971,Central America,Order ID,40971
Yes,IN-2014-HM1486092-41679,Oceania,Order ID,41679
Yes,ID-2015-SS205907-42361,Oceania,Order ID,42361
Yes,IT-2013-GT14710125-41392,Western Europe,Order ID,41392
Yes,ID-2015-MG1768092-42032,Oceania,Order ID,42032
Yes,IN-2015-VP2173058-42024,Southern Asia,Order ID,42024
Yes,ES-2013-HG14965120-41571,Southern Europe,Order ID,41571
Yes,IR-2012-JF529560-40988,Southern Asia,Order ID,40988
Yes,US-2014-KD16495140-41976,Western US,Order ID,41976
Yes,MX-2015-FG142605-42318,South America,Order ID,42318
Yes,ES-2012-SV20365120-41132,Southern Europe,Order ID,41132
Yes,US-2014-DL12925101-41646,South America,Order ID,41646
Yes,NI-2012-DV304595-41121,Western Africa,Order ID,41121
Yes,ES-2013-GT1475545-41597,Western Europe,Order ID,41597
Yes,ID-2014-CK1220527-41948,Eastern Asia,Order ID,41948
Yes,ES-2013-PB18805120-41591,Southern Europe,Order ID,41591
Yes,EG-2012-MC727538-41130,North Africa,Order ID,41130
Yes,IN-2013-AM1070527-41535,Eastern Asia,Order ID,41535
Yes,ES-2012-JH16180139-41090,Northern Europe,Order ID,41090
Yes,ID-2013-TM210107-41492,Oceania,Order ID,41492
Yes,ID-2015-CJ1187597-42147,Southern Asia,Order ID,42147
Yes,ES-2014-TS2116045-41817,Western Europe,Order ID,41817
Yes,CA-2014-ES14080140-41737,Eastern US,Order ID,41737
Yes,US-2015-GT1471055-42299,Central America,Order ID,42299
Yes,IN-2014-PW1903058-41999,Southern Asia,Order ID,41999
Yes,ID-2012-NB1858092-41241,Oceania,Order ID,41241
Yes,IN-2014-TS211607-41875,Oceania,Order ID,41875
Yes,IN-2013-RH195107-41573,Oceania,Order ID,41573
Yes,US-2015-JH1543055-42328,Central America,Order ID,42328
Yes,US-2014-PK19075140-41907,Eastern US,Order ID,41907
Yes,IN-2013-MG176957-41542,Oceania,Order ID,41542
Yes,IR-2013-PK891060-41342,Southern Asia,Order ID,41342
Yes,MX-2014-ML1775593-41795,Central America,Order ID,41795
Yes,IT-2014-VP2173048-41990,Western Europe,Order ID,41990
Yes,CA-2013-LS17245140-41629,Southern US,Order ID,41629
Yes,ES-2012-BM1178545-41144,Western Europe,Order ID,41144
Yes,PL-2012-LL6840103-41137,Eastern Europe,Order ID,41137
Yes,IN-2014-SC205757-41662,Oceania,Order ID,41662
Yes,CA-2012-RP19270140-41200,Western US,Order ID,41200
Yes,SF-2013-KN6390117-41614,Southern Africa,Order ID,41614
Yes,MX-2015-DA1345051-42180,Central America,Order ID,42180
Yes,CA-2013-BM11575140-41532,Eastern US,Order ID,41532
Yes,CA-2015-JC16105140-42301,Eastern US,Order ID,42301
Yes,NI-2012-SP1086095-41090,Western Africa,Order ID,41090
Yes,IT-2012-RS1987091-41200,Western Europe,Order ID,41200
Yes,CA-2013-SM20950140-41627,Central US,Order ID,41627
Yes,ES-2014-AS1009045-41885,Western Europe,Order ID,41885
Yes,MX-2014-SK1999082-41922,Central America,Order ID,41922
Yes,IT-2013-VW2177545-41580,Western Europe,Order ID,41580
Yes,ES-2012-AI1085548-41187,Western Europe,Order ID,41187
Yes,CA-2014-NZ18565140-41964,Eastern US,Order ID,41964
Yes,ES-2015-ES1402045-42032,Western Europe,Order ID,42032
Yes,SA-2012-LC6870110-41121,Western Asia,Order ID,41121
Yes,ES-2012-KN16705120-41257,Southern Europe,Order ID,41257
Yes,TU-2015-EN3780134-42164,Western Asia,Order ID,42164
Yes,CA-2013-MS17365140-41632,Western US,Order ID,41632
Yes,MX-2013-JC1538528-41574,South America,Order ID,41574
Yes,RW-2015-BG1740109-42353,Eastern Africa,Order ID,42353
Yes,MX-2015-EL1373536-42278,Caribbean,Order ID,42278
Yes,ES-2012-JK1564048-41191,Western Europe,Order ID,41191
Yes,IN-2015-JH159857-42221,Oceania,Order ID,42221
Yes,CA-2012-ML17395140-41194,Eastern US,Order ID,41194
Yes,IR-2013-CM193560-41296,Southern Asia,Order ID,41296
Yes,MX-2015-BD1172537-42330,South America,Order ID,42330
Yes,ES-2013-BE1133564-41387,Southern Europe,Order ID,41387
Yes,IT-2015-Dl1360048-42209,Western Europe,Order ID,42209
Yes,CA-2012-RB19435140-41236,Central US,Order ID,41236
Yes,IR-2015-JD615060-42186,Southern Asia,Order ID,42186
Yes,ID-2014-AG1076527-41872,Eastern Asia,Order ID,41872
Yes,MX-2013-JM156555-41549,South America,Order ID,41549
Yes,IT-2013-DK1298564-41618,Southern Europe,Order ID,41618
Yes,US-2014-MH1811554-41900,Caribbean,Order ID,41900
Yes,IN-2013-MS17710113-41495,Southeastern Asia,Order ID,41495
Yes,ID-2014-KB16600144-41986,Southeastern Asia,Order ID,41986
Yes,ES-2014-SC2002045-41790,Western Europe,Order ID,41790
Yes,CA-2012-LE16810140-41258,Southern US,Order ID,41258
Yes,CA-2015-DM13345140-42347,Western US,Order ID,42347
Yes,CA-2014-BC11125140-41864,Eastern US,Order ID,41864
Yes,IN-2013-NP186707-41474,Oceania,Order ID,41474
Yes,TU-2014-JW5220134-41755,Western Asia,Order ID,41755
Yes,CA-2014-RD19810140-41798,Eastern US,Order ID,41798
Yes,IN-2015-JD1589558-42288,Southern Asia,Order ID,42288
Yes,US-2014-VM21835140-41772,Western US,Order ID,41772
Yes,MX-2013-EH1412555-41276,Central America,Order ID,41276
Yes,EZ-2012-PS904532-41150,Eastern Europe,Order ID,41150
Yes,CA-2013-JD15895140-41620,Western US,Order ID,41620
Yes,CA-2014-BD11620140-41707,Eastern US,Order ID,41707
Yes,CA-2014-JH15985140-41888,Western US,Order ID,41888
Yes,ES-2015-PO18850139-42264,Northern Europe,Order ID,42264
Yes,CG-2015-PV898533-42225,Central Africa,Order ID,42225
Yes,MX-2013-CD1279082-41521,Central America,Order ID,41521
Yes,US-2012-DK1283536-40939,Caribbean,Order ID,40939
Yes,SF-2013-PF9165117-41490,Southern Africa,Order ID,41490
Yes,MX-2014-ES1402082-41929,Central America,Order ID,41929
Yes,IT-2015-RB19570120-42181,Southern Europe,Order ID,42181
Yes,CA-2014-TZ1144523-41985,Eastern Canada,Order ID,41985
Yes,RS-2015-BP1230108-42132,Eastern Europe,Order ID,42132
Yes,CA-2015-SR20425140-42361,Southern US,Order ID,42361
Yes,CA-2013-JK16120140-41551,Eastern US,Order ID,41551
Yes,IN-2014-LM1706566-41893,Eastern Asia,Order ID,41893
Yes,CA-2014-ON18715140-41710,Central US,Order ID,41710
Yes,US-2014-RB19570140-41886,Central US,Order ID,41886
Yes,MX-2014-TG216405-41952,South America,Order ID,41952
Yes,US-2015-LR1691518-42180,South America,Order ID,42180
Yes,NI-2015-MK790595-42144,Western Africa,Order ID,42144
Yes,UP-2014-LL6840137-41670,Eastern Europe,Order ID,41670
Yes,ES-2015-LT1711045-42025,Western Europe,Order ID,42025
Yes,TU-2012-FG4260134-41177,Western Asia,Order ID,41177
Yes,IT-2014-AT1043591-41795,Western Europe,Order ID,41795
Yes,CA-2015-JF15415140-42367,Eastern US,Order ID,42367
Yes,IT-2012-RD19930120-41222,Southern Europe,Order ID,41222
Yes,IR-2014-BD162060-41820,Southern Asia,Order ID,41820
Yes,ES-2015-CM1223545-42327,Western Europe,Order ID,42327
Yes,MX-2015-MS1798028-42300,South America,Order ID,42300
Yes,UP-2015-RK9300137-42341,Eastern Europe,Order ID,42341
Yes,CA-2015-MA17560140-42298,Eastern US,Order ID,42298
Yes,US-2013-HD1478555-41565,Central America,Order ID,41565
Yes,MX-2013-BS1136536-41595,Caribbean,Order ID,41595
Yes,CA-2012-RH19495140-41143,Eastern US,Order ID,41143
Yes,ET-2014-SV1081543-41814,Eastern Africa,Order ID,41814
Yes,MX-2013-AP1091536-41528,Caribbean,Order ID,41528
Yes,MX-2015-RH1951082-42262,Central America,Order ID,42262
Yes,CA-2013-JC16105140-41520,Southern US,Order ID,41520
Yes,ES-2012-MP1817564-41187,Southern Europe,Order ID,41187
Yes,US-2013-RR19525140-41613,Southern US,Order ID,41613
Yes,ES-2013-GT14710139-41614,Northern Europe,Order ID,41614
Yes,EK-2014-EP391540-41947,Central Africa,Order ID,41947
Yes,ID-2012-TC2129527-41137,Eastern Asia,Order ID,41137
Yes,MX-2014-TM2149039-41923,Central America,Order ID,41923
Yes,TU-2015-EB3840134-42326,Western Asia,Order ID,42326
Yes,MX-2013-DW1348051-41548,Central America,Order ID,41548
Yes,US-2014-GK14620101-41744,South America,Order ID,41744
Yes,MX-2012-PF1912028-41059,South America,Order ID,41059
Yes,IZ-2013-GZ454561-41314,Western Asia,Order ID,41314
Yes,CA-2015-SC20380140-42039,Southern US,Order ID,42039
Yes,IN-2015-BS11590102-42287,Southeastern Asia,Order ID,42287
Yes,MX-2012-MF1766582-41174,Central America,Order ID,41174
Yes,TU-2015-CS1860134-42042,Western Asia,Order ID,42042
Yes,MX-2013-SS2059093-41565,Central America,Order ID,41565
Yes,MX-2015-PR1888018-42153,South America,Order ID,42153
Yes,PL-2014-BM1650103-41888,Eastern Europe,Order ID,41888
Yes,CA-2015-DK13090140-42279,Central US,Order ID,42279
Yes,ID-2014-RB19330102-41767,Southeastern Asia,Order ID,41767
Yes,MX-2013-RW1963082-41528,Central America,Order ID,41528
Yes,IT-2012-BD1172591-40992,Western Europe,Order ID,40992
Yes,TU-2015-SW10350134-42024,Western Asia,Order ID,42024
Yes,US-2014-SG2008055-41769,Central America,Order ID,41769
Yes,ES-2012-AR104058-41127,Western Europe,Order ID,41127
Yes,CG-2015-DW358533-42341,Central Africa,Order ID,42341
Yes,CA-2012-HP14815140-41236,Southern US,Order ID,41236
Yes,ID-2013-AS1022559-41392,Southeastern Asia,Order ID,41392
Yes,PL-2015-ML8265103-42252,Eastern Europe,Order ID,42252
Yes,ES-2014-BD1132048-41992,Western Europe,Order ID,41992
Yes,CA-2015-JH15430140-42329,Southern US,Order ID,42329
Yes,CA-2015-NG18355140-42235,Eastern US,Order ID,42235
Yes,MX-2012-MM1805531-40978,Caribbean,Order ID,40978
Yes,ES-2013-EH14125120-41573,Southern Europe,Order ID,41573
Yes,ES-2015-BM1157545-42276,Western Europe,Order ID,42276
Yes,ES-2015-CB1202545-42041,Western Europe,Order ID,42041
Yes,IT-2014-AP1091564-41896,Southern Europe,Order ID,41896
Yes,ES-2012-AG1049564-41254,Southern Europe,Order ID,41254
Yes,ID-2013-GZ14545130-41605,Southeastern Asia,Order ID,41605
Yes,IN-2015-LH171557-42294,Oceania,Order ID,42294
Yes,US-2015-PN18775140-42339,Southern US,Order ID,42339
Yes,ID-2015-GD1459092-42144,Oceania,Order ID,42144
Yes,IN-2014-IM1507058-41812,Southern Asia,Order ID,41812
Yes,US-2012-JW1595555-41073,Central America,Order ID,41073
Yes,MX-2014-AG1076539-41887,Central America,Order ID,41887
Yes,ES-2015-LD1685548-42185,Western Europe,Order ID,42185
Yes,US-2012-CW1190536-41241,Caribbean,Order ID,41241
Yes,ID-2015-GM1445592-42334,Oceania,Order ID,42334
Yes,EG-2013-VG1179038-41590,North Africa,Order ID,41590
Yes,CA-2015-PN18775140-42120,Southern US,Order ID,42120
Yes,ID-2012-RB193307-41261,Oceania,Order ID,41261
Yes,CA-2015-AG10675140-42272,Southern US,Order ID,42272
Yes,EN-2015-MC760542-42174,Northern Europe,Order ID,42174
Yes,US-2014-MG1814555-41928,Central America,Order ID,41928
Yes,CA-2015-RB19795140-42138,Western US,Order ID,42138
Yes,IR-2014-DL286560-41950,Southern Asia,Order ID,41950
Yes,CA-2015-PK19075140-42316,Eastern US,Order ID,42316
Yes,ES-2014-EJ1415545-41901,Western Europe,Order ID,41901
Yes,ES-2014-EB1397564-41814,Southern Europe,Order ID,41814
Yes,MX-2012-JL1517582-41163,Central America,Order ID,41163
Yes,ES-2014-CP12340120-41738,Southern Europe,Order ID,41738
Yes,US-2015-SC2084582-42125,Central America,Order ID,42125
Yes,TU-2013-AH585134-41367,Western Asia,Order ID,41367
Yes,CA-2014-BM11575140-41964,Western US,Order ID,41964
Yes,SI-2014-TC10980115-41955,Southern Europe,Order ID,41955
Yes,ES-2012-VG2180548-41175,Western Europe,Order ID,41175
Yes,MX-2014-Dp1324082-41960,Central America,Order ID,41960
Yes,IN-2015-MH1744027-42025,Eastern Asia,Order ID,42025
Yes,IN-2015-TW2102578-42063,Southeastern Asia,Order ID,42063
Yes,IT-2015-FO1430564-42342,Southern Europe,Order ID,42342
Yes,BO-2015-MS798013-42091,Eastern Europe,Order ID,42091
Yes,CA-2012-ZC21910140-41271,Central US,Order ID,41271
Yes,ES-2012-AJ1094545-41239,Western Europe,Order ID,41239
Yes,US-2015-RL19615140-42147,Western US,Order ID,42147
Yes,NI-2012-SN1056095-41065,Western Africa,Order ID,41065
Yes,CA-2014-EH13945140-41655,Western US,Order ID,41655
Yes,MX-2013-JP1552082-41440,Central America,Order ID,41440
Yes,IN-2015-CR126257-42046,Oceania,Order ID,42046
Yes,IN-2014-OT187307-41944,Oceania,Order ID,41944
Yes,MX-2013-MC1759039-41577,Central America,Order ID,41577
Yes,MX-2012-BF1127582-41039,Central America,Order ID,41039
Yes,TU-2014-EG3900134-41794,Western Asia,Order ID,41794
Yes,CA-2013-TC21535140-41536,Southern US,Order ID,41536
Yes,US-2015-EB1397518-42304,South America,Order ID,42304
Yes,ES-2015-JK1564064-42297,Southern Europe,Order ID,42297
Yes,EG-2015-RM937538-42360,North Africa,Order ID,42360
Yes,MX-2014-PO1886593-41642,Central America,Order ID,41642
Yes,SA-2015-BB990110-42291,Western Asia,Order ID,42291
Yes,US-2012-TS2108536-41070,Caribbean,Order ID,41070
Yes,EG-2013-FA423038-41534,North Africa,Order ID,41534
Yes,ES-2013-SC20305139-41480,Northern Europe,Order ID,41480
Yes,CA-2013-BP11095140-41481,Western US,Order ID,41481
Yes,MO-2013-JW607586-41520,North Africa,Order ID,41520
Yes,ID-2015-NP18685102-42224,Southeastern Asia,Order ID,42224
Yes,ES-2015-JC16105139-42173,Northern Europe,Order ID,42173
Yes,US-2015-RH1955518-42079,South America,Order ID,42079
Yes,CA-2014-WB21850140-41654,Eastern US,Order ID,41654
Yes,IN-2013-SW202757-41585,Oceania,Order ID,41585
Yes,MX-2013-SC2077018-41329,South America,Order ID,41329
Yes,CA-2015-HM14980140-42122,Western US,Order ID,42122
Yes,IR-2012-DV304560-40929,Southern Asia,Order ID,40929
Yes,MX-2013-EJ1415516-41465,South America,Order ID,41465
Yes,CA-2012-EJ13720140-41258,Central US,Order ID,41258
Yes,CA-2015-SC20305140-42245,Central US,Order ID,42245
Yes,IS-2013-MY829563-41460,Western Asia,Order ID,41460
Yes,ID-2015-LS172007-42133,Oceania,Order ID,42133
Yes,MX-2012-BT1130582-41158,Central America,Order ID,41158
Yes,ES-2015-CL1189064-42356,Southern Europe,Order ID,42356
Yes,CA-2014-JG15160140-41910,Southern US,Order ID,41910
Yes,ID-2014-MP1747059-41709,Southeastern Asia,Order ID,41709
Yes,SA-2013-GM4680110-41328,Western Asia,Order ID,41328
Yes,MX-2012-TZ2158093-40955,Central America,Order ID,40955
Yes,CA-2012-RB19645140-41143,Western US,Order ID,41143
Yes,CA-2012-IM15055140-40932,Western US,Order ID,40932
Yes,IN-2015-BK1126027-42341,Eastern Asia,Order ID,42341
Yes,US-2015-DB1355598-42119,Central America,Order ID,42119
Yes,MX-2012-AW1093031-40912,Caribbean,Order ID,40912
Yes,MX-2014-HE1480082-41851,Central America,Order ID,41851
Yes,US-2013-ON18715140-41411,Central US,Order ID,41411
Yes,MX-2012-AH1046539-41185,Central America,Order ID,41185
Yes,TU-2012-FH4365134-41121,Western Asia,Order ID,41121
Yes,ID-2013-RW1954097-41476,Southern Asia,Order ID,41476
Yes,CA-2014-AM10360140-41837,Central US,Order ID,41837
Yes,CA-2013-FC14335140-41409,Eastern US,Order ID,41409
Yes,IN-2015-IG1508566-42228,Eastern Asia,Order ID,42228
Yes,IT-2014-EK1379591-41771,Western Europe,Order ID,41771
Yes,ID-2015-TC2129559-42223,Southeastern Asia,Order ID,42223
Yes,CA-2014-BD11620140-41999,Eastern US,Order ID,41999
Yes,CA-2014-RD19900140-41960,Western US,Order ID,41960
Yes,ID-2012-TH21100118-41125,Eastern Asia,Order ID,41125
Yes,IZ-2014-CA205561-41816,Western Asia,Order ID,41816
