order_id,order_date,ship_date,ship_mode,order_priority,market,region,customer_id
IN-2012-CC126707-41203,2012-10-21,2012-10-27,Standard Class,Low,Asia Pacific,Oceania,CC-126707
IN-2014-CP12085130-41935,2014-10-23,2014-10-29,Standard Class,Medium,Asia Pacific,Southeastern Asia,CP-12085130
IN-2013-BF1127592-41633,2013-12-25,2013-12-25,Same Day,Critical,Asia Pacific,Oceania,BF-1127592
ID-2012-TT2107059-41263,2012-12-20,2012-12-22,First Class,High,Asia Pacific,Southeastern Asia,TT-2107059
IT-2012-DL1333091-41145,2012-08-24,2012-08-27,First Class,Critical,Europe,Western Europe,DL-1333091
ID-2012-CM12385102-40954,2012-02-15,2012-02-21,Standard Class,Low,Asia Pacific,Southeastern Asia,CM-12385102
IZ-2014-CK232561-41996,2014-12-23,2014-12-28,Standard Class,High,Asia Pacific,Western Asia,CK-232561
ID-2014-TT2122088-41999,2014-12-26,2014-12-30,Standard Class,High,Asia Pacific,Southeastern Asia,TT-2122088
MX-2014-JF1529536-41930,2014-10-18,2014-10-20,Second Class,High,LATAM,Caribbean,JF-1529536
IT-2015-BP11095124-42363,2015-12-25,2015-12-25,Same Day,Critical,Europe,Northern Europe,BP-11095124
IN-2015-RB1957058-42206,2015-07-21,2015-07-26,Standard Class,High,Asia Pacific,Southern Asia,RB-1957058
ID-2015-MC181007-42252,2015-09-05,2015-09-10,Second Class,Medium,Asia Pacific,Oceania,MC-181007
IN-2013-DP1316558-41623,2013-12-15,2013-12-19,Second Class,High,Asia Pacific,Southern Asia,DP-1316558
IN-2013-RO1978058-41296,2013-01-22,2013-01-26,Second Class,Medium,Asia Pacific,Southern Asia,RO-1978058
MX-2014-JG1511539-41865,2014-08-14,2014-08-18,Standard Class,High,LATAM,Central America,JG-1511539
IN-2015-DW1319527-42321,2015-11-13,2015-11-17,Second Class,High,Asia Pacific,Eastern Asia,DW-1319527
ID-2014-JH1543059-41996,2014-12-23,2014-12-28,Standard Class,High,Asia Pacific,Southeastern Asia,JH-1543059
MX-2012-JG1511582-41196,2012-10-14,2012-10-18,Standard Class,Medium,LATAM,Central America,JG-1511582
CA-2013-AG10495140-41570,2013-10-23,2013-10-28,Standard Class,Medium,USCA,Western US,AG-104951404
MX-2012-JL1583531-41065,2012-06-05,2012-06-06,First Class,Critical,LATAM,Caribbean,JL-1583531
IZ-2013-DV346561-41431,2013-06-06,2013-06-10,Standard Class,Medium,Asia Pacific,Western Asia,DV-346561
SA-2015-MY7380110-42047,2015-02-12,2015-02-16,Standard Class,Medium,Asia Pacific,Western Asia,MY-7380110
CA-2014-AR10510140-42000,2014-12-27,2015-01-01,Standard Class,Medium,USCA,Eastern US,AR-105101406
BO-2015-PB915013-42172,2015-06-17,2015-06-20,First Class,Medium,Europe,Eastern Europe,PB-915013
CA-2013-AR10510140-41517,2013-08-31,2013-09-05,Standard Class,High,USCA,Western US,AR-105101404
IN-2014-AG103907-41969,2014-11-26,2014-11-30,Standard Class,High,Asia Pacific,Oceania,AG-103907
CA-2012-AR10510140-41030,2012-05-01,2012-05-01,Same Day,High,USCA,Eastern US,AR-105101406
US-2012-AR10510140-41051,2012-05-22,2012-05-26,Standard Class,Medium,USCA,Eastern US,AR-105101406
IN-2012-EP1391527-41186,2012-10-04,2012-10-09,Second Class,High,Asia Pacific,Eastern Asia,EP-1391527
ES-2012-DP1316545-41159,2012-09-07,2012-09-07,Same Day,Medium,Europe,Western Europe,DP-1316545
IN-2014-AA106457-41815,2014-06-25,2014-06-29,Second Class,Medium,Asia Pacific,Oceania,AA-106457
IT-2012-DK1337591-41268,2012-12-25,2012-12-25,Same Day,High,Europe,Western Europe,DK-1337591
IN-2015-MC1784527-42249,2015-09-02,2015-09-07,Standard Class,Medium,Asia Pacific,Eastern Asia,MC-1784527
CA-2015-AR10510140-42355,2015-12-17,2015-12-21,Standard Class,High,USCA,Central US,AR-105101402
IN-2014-LT1676558-41954,2014-11-11,2014-11-15,Second Class,Medium,Asia Pacific,Southern Asia,LT-1676558
US-2013-BP1118536-41451,2013-06-26,2013-06-28,First Class,High,LATAM,Caribbean,BP-1118536
IN-2013-HH1501058-41576,2013-10-29,2013-11-02,Second Class,High,Asia Pacific,Southern Asia,HH-1501058
IN-2012-BD1163592-41222,2012-11-09,2012-11-11,First Class,High,Asia Pacific,Oceania,BD-1163592
CA-2012-AG10525140-41153,2012-09-01,2012-09-06,Standard Class,Medium,USCA,Central US,AG-105251402
ES-2015-KW16570139-42059,2015-02-24,2015-02-26,Second Class,Critical,Europe,Northern Europe,KW-16570139
ID-2014-CM11830144-41766,2014-05-07,2014-05-09,First Class,High,Asia Pacific,Southeastern Asia,CM-11830144
IN-2013-JF151907-41409,2013-05-15,2013-05-20,Standard Class,Medium,Asia Pacific,Oceania,JF-151907
MX-2013-LT1676539-41532,2013-09-15,2013-09-17,Second Class,High,LATAM,Central America,LT-1676539
EG-2013-JB604538-41580,2013-11-02,2013-11-06,Standard Class,High,Africa,North Africa,JB-604538
TU-2012-JF5190134-41121,2012-07-31,2012-08-04,Standard Class,High,Asia Pacific,Western Asia,JF-5190134
IN-2014-AB106007-41725,2014-03-27,2014-04-01,Standard Class,Medium,Asia Pacific,Oceania,AB-106007
ES-2015-AS1004545-42346,2015-12-08,2015-12-14,Standard Class,Medium,Europe,Western Europe,AS-1004545
IN-2014-TR213257-41908,2014-09-26,2014-09-30,Standard Class,High,Asia Pacific,Oceania,TR-213257
CA-2013-AG10525140-41524,2013-09-07,2013-09-12,Standard Class,Medium,USCA,Eastern US,AG-105251406
IN-2015-AJ1078058-42245,2015-08-29,2015-09-04,Standard Class,Low,Asia Pacific,Southern Asia,AJ-1078058
MX-2014-CM1223528-41782,2014-05-23,2014-05-25,First Class,High,LATAM,South America,CM-1223528
ES-2015-DV1304545-42221,2015-08-05,2015-08-07,Second Class,Medium,Europe,Western Europe,DV-1304545
AO-2012-BS18004-41191,2012-10-09,2012-10-13,Standard Class,High,Africa,Central Africa,BS-18004
ES-2015-CS12175139-42235,2015-08-19,2015-08-23,Standard Class,Medium,Europe,Northern Europe,CS-12175139
CG-2014-MR754533-41650,2014-01-11,2014-01-17,Standard Class,Low,Africa,Central Africa,MR-754533
ID-2014-JF155657-41899,2014-09-17,2014-09-17,Same Day,Medium,Asia Pacific,Oceania,JF-155657
MX-2012-MD1735082-41202,2012-10-20,2012-10-24,Second Class,High,LATAM,Central America,MD-1735082
US-2014-DB1366055-41951,2014-11-08,2014-11-10,First Class,Critical,LATAM,Central America,DB-1366055
IN-2015-LB1679558-42033,2015-01-29,2015-02-03,Standard Class,Medium,Asia Pacific,Southern Asia,LB-1679558
ID-2013-EM140657-41411,2013-05-17,2013-05-21,Second Class,High,Asia Pacific,Oceania,EM-140657
IT-2015-NL18310124-42215,2015-07-30,2015-08-04,Second Class,High,Europe,Northern Europe,NL-18310124
MX-2015-CA1277582-42117,2015-04-23,2015-04-25,First Class,High,LATAM,Central America,CA-1277582
IN-2014-PO1918027-41711,2014-03-13,2014-03-17,Second Class,Medium,Asia Pacific,Eastern Asia,PO-1918027
MX-2014-HE1480031-41811,2014-06-21,2014-06-25,Second Class,Medium,LATAM,Caribbean,HE-1480031
IN-2012-KN164507-40911,2012-01-03,2012-01-03,Same Day,Critical,Asia Pacific,Oceania,KN-164507
ID-2015-KL166457-42202,2015-07-17,2015-07-17,Same Day,Medium,Asia Pacific,Oceania,KL-166457
ES-2015-BG1174045-42353,2015-12-15,2015-12-17,Second Class,Critical,Europe,Western Europe,BG-1174045
IN-2013-NR1855027-41565,2013-10-18,2013-10-21,Second Class,Critical,Asia Pacific,Eastern Asia,NR-1855027
CA-2012-AG10525140-41129,2012-08-08,2012-08-15,Standard Class,Low,USCA,Southern US,AG-105251408
ES-2012-PS18760120-41141,2012-08-20,2012-08-20,Same Day,Critical,Europe,Southern Europe,PS-18760120
IT-2015-JC15340139-42046,2015-02-11,2015-02-13,First Class,Critical,Europe,Northern Europe,JC-15340139
ES-2013-LC17140120-41276,2013-01-02,2013-01-04,First Class,Critical,Europe,Southern Europe,LC-17140120
CA-2013-AG10525140-41523,2013-09-06,2013-09-12,Standard Class,Medium,USCA,Southern US,AG-105251408
ES-2015-NF1838545-42290,2015-10-13,2015-10-18,Standard Class,Medium,Europe,Western Europe,NF-1838545
SG-2014-BS1665111-41734,2014-04-05,2014-04-08,First Class,Critical,Africa,Western Africa,BS-1665111
IN-2015-DL1331592-42025,2015-01-21,2015-01-25,Standard Class,High,Asia Pacific,Oceania,DL-1331592
ES-2014-MO1795064-41912,2014-09-30,2014-10-05,Standard Class,High,Europe,Southern Europe,MO-1795064
IN-2015-NG184307-42322,2015-11-14,2015-11-17,First Class,High,Asia Pacific,Oceania,NG-184307
IN-2013-VW2177566-41569,2013-10-22,2013-10-27,Standard Class,High,Asia Pacific,Eastern Asia,VW-2177566
ID-2015-NP183257-42368,2015-12-30,2016-01-01,Second Class,Critical,Asia Pacific,Oceania,NP-183257
IN-2014-RD1966092-41689,2014-02-19,2014-02-26,Standard Class,Medium,Asia Pacific,Oceania,RD-1966092
ES-2015-HJ1487545-42227,2015-08-11,2015-08-17,Standard Class,Medium,Europe,Western Europe,HJ-1487545
ES-2014-CA1277545-41867,2014-08-16,2014-08-21,Standard Class,High,Europe,Western Europe,CA-1277545
ZA-2014-TA11385146-41692,2014-02-22,2014-02-27,Standard Class,High,Africa,Eastern Africa,TA-11385146
IN-2015-BD1132027-42081,2015-03-18,2015-03-23,Standard Class,Medium,Asia Pacific,Eastern Asia,BD-1132027
IT-2014-BG1169591-41986,2014-12-13,2014-12-13,Same Day,High,Europe,Western Europe,BG-1169591
GV-2014-JM565552-41807,2014-06-17,2014-06-19,First Class,High,Africa,Western Africa,JM-565552
MO-2012-SM1032086-41237,2012-11-24,2012-11-24,Same Day,High,Africa,North Africa,SM-1032086
NI-2013-JS588095-41416,2013-05-22,2013-05-26,Standard Class,High,Africa,Western Africa,JS-588095
ES-2013-JL1583545-41500,2013-08-14,2013-08-18,Standard Class,High,Europe,Western Europe,JL-1583545
ES-2015-RA1994548-42249,2015-09-02,2015-09-04,Second Class,Critical,Europe,Western Europe,RA-1994548
IT-2014-PK1907545-41911,2014-09-29,2014-10-04,Standard Class,High,Europe,Western Europe,PK-1907545
MX-2015-AG1033012-42187,2015-07-02,2015-07-06,Standard Class,Medium,LATAM,Caribbean,AG-1033012
MX-2015-BM1165082-42171,2015-06-16,2015-06-21,Standard Class,Medium,LATAM,Central America,BM-1165082
IN-2013-KW1657027-41452,2013-06-27,2013-07-01,Standard Class,High,Asia Pacific,Eastern Asia,KW-1657027
CT-2015-JE616524-42106,2015-04-12,2015-04-16,Standard Class,High,Africa,Central Africa,JE-616524
MX-2015-RD1990036-42337,2015-11-29,2015-12-06,Standard Class,Low,LATAM,Caribbean,RD-1990036
IN-2013-DL128657-41548,2013-10-01,2013-10-05,Standard Class,High,Asia Pacific,Oceania,DL-128657
MX-2014-CS1240028-41886,2014-09-04,2014-09-05,First Class,High,LATAM,South America,CS-1240028
MX-2015-OT1873031-42164,2015-06-09,2015-06-12,First Class,Critical,LATAM,Caribbean,OT-1873031
IN-2015-NP1868588-42242,2015-08-26,2015-08-31,Standard Class,High,Asia Pacific,Southeastern Asia,NP-1868588
ES-2015-TH2123564-42361,2015-12-23,2015-12-23,Same Day,Critical,Europe,Southern Europe,TH-2123564
IN-2014-AB100157-41941,2014-10-29,2014-10-31,First Class,Medium,Asia Pacific,Oceania,AB-100157
CA-2015-AR10540140-42021,2015-01-17,2015-01-19,Second Class,High,USCA,Central US,AR-105401402
US-2013-AR10540140-41375,2013-04-11,2013-04-14,Second Class,Medium,USCA,Western US,AR-105401404
IN-2013-RE1940527-41488,2013-08-02,2013-08-06,Standard Class,High,Asia Pacific,Eastern Asia,RE-1940527
MX-2014-AG1076539-41803,2014-06-13,2014-06-19,Standard Class,Medium,LATAM,Central America,AG-1076539
MX-2015-GB1457518-42105,2015-04-11,2015-04-16,Second Class,Medium,LATAM,South America,GB-1457518
US-2012-MD1786098-41249,2012-12-06,2012-12-09,Second Class,High,LATAM,Central America,MD-1786098
IT-2015-KD1634545-42238,2015-08-22,2015-08-26,Standard Class,High,Europe,Western Europe,KD-1634545
ES-2013-YS2188048-41496,2013-08-10,2013-08-14,Standard Class,Medium,Europe,Western Europe,YS-2188048
CA-2012-AR10540140-41237,2012-11-24,2012-11-26,Second Class,High,USCA,Eastern US,AR-105401406
IN-2015-PG1882027-42334,2015-11-26,2015-11-30,Standard Class,Medium,Asia Pacific,Eastern Asia,PG-1882027
IN-2015-KW1657058-42083,2015-03-20,2015-03-24,Standard Class,Medium,Asia Pacific,Southern Asia,KW-1657058
ES-2013-JC16105139-41468,2013-07-13,2013-07-17,Standard Class,High,Europe,Northern Europe,JC-16105139
CA-2013-AR10540140-41600,2013-11-22,2013-11-26,Standard Class,High,USCA,Eastern US,AR-105401406
BU-2012-DE325519-41219,2012-11-06,2012-11-08,Second Class,Medium,Europe,Eastern Europe,DE-325519
ES-2014-CM11830139-41867,2014-08-16,2014-08-23,Standard Class,Low,Europe,Northern Europe,CM-11830139
US-2012-JM1558018-41045,2012-05-16,2012-05-19,Second Class,High,LATAM,South America,JM-1558018
ES-2015-AH1003014-42341,2015-12-03,2015-12-07,Standard Class,Medium,Europe,Western Europe,AH-1003014
IN-2014-SH2063527-41879,2014-08-28,2014-09-04,Standard Class,Low,Asia Pacific,Eastern Asia,SH-2063527
ES-2015-TH21550139-42294,2015-10-17,2015-10-19,First Class,High,Europe,Northern Europe,TH-21550139
CA-2014-AR10540140-41912,2014-09-30,2014-10-04,Standard Class,Medium,USCA,Western US,AR-105401404
NI-2012-JD601595-41259,2012-12-16,2012-12-19,First Class,High,Africa,Western Africa,JD-601595
ES-2013-CM1181548-41445,2013-06-20,2013-06-22,First Class,Medium,Europe,Western Europe,CM-1181548
IT-2015-IM1507091-42329,2015-11-21,2015-11-25,Standard Class,High,Europe,Western Europe,IM-1507091
IT-2014-ML17395120-41794,2014-06-04,2014-06-07,Second Class,Critical,Europe,Southern Europe,ML-17395120
IT-2015-JS15880120-42224,2015-08-08,2015-08-13,Standard Class,Medium,Europe,Southern Europe,JS-15880120
IT-2012-AS1004564-40999,2012-03-31,2012-04-03,First Class,High,Europe,Southern Europe,AS-1004564
ES-2014-JG1580545-41809,2014-06-19,2014-06-22,Second Class,High,Europe,Western Europe,JG-1580545
ES-2015-JP1546045-42059,2015-02-24,2015-03-03,Standard Class,Low,Europe,Western Europe,JP-1546045
ES-2012-NP18700120-41237,2012-11-24,2012-11-29,Standard Class,Medium,Europe,Southern Europe,NP-18700120
ES-2015-FO1430514-42077,2015-03-14,2015-03-16,First Class,High,Europe,Western Europe,FO-1430514
EG-2015-CR273038-42266,2015-09-19,2015-09-20,First Class,High,Africa,North Africa,CR-273038
AG-2015-RC99603-42185,2015-06-30,2015-07-05,Standard Class,High,Africa,North Africa,RC-99603
ES-2012-AG1049545-41003,2012-04-04,2012-04-08,Standard Class,Medium,Europe,Western Europe,AG-1049545
MX-2014-CM1183093-41982,2014-12-09,2014-12-15,Standard Class,Low,LATAM,Central America,CM-1183093
CA-2015-AR10540140-42363,2015-12-25,2015-12-30,Standard Class,Medium,USCA,Eastern US,AR-105401406
ES-2012-AO10810139-41268,2012-12-25,2012-12-29,Standard Class,Medium,Europe,Northern Europe,AO-10810139
ID-2014-SW207557-41977,2014-12-04,2014-12-09,Second Class,Medium,Asia Pacific,Oceania,SW-207557
CA-2015-AY10555140-42355,2015-12-17,2015-12-22,Second Class,High,USCA,Western US,AY-105551404
CA-2014-AY10555140-41992,2014-12-19,2014-12-21,First Class,Medium,USCA,Western US,AY-105551404
ES-2014-MD17350139-41949,2014-11-06,2014-11-09,First Class,High,Europe,Northern Europe,MD-17350139
ID-2015-TB214007-42322,2015-11-14,2015-11-16,First Class,High,Asia Pacific,Oceania,TB-214007
CA-2012-AY10555140-41004,2012-04-05,2012-04-11,Standard Class,Medium,USCA,Western US,AY-105551404
US-2015-GH1442598-42351,2015-12-13,2015-12-15,Second Class,Critical,LATAM,Central America,GH-1442598
RW-2014-TB11250109-41677,2014-02-07,2014-02-12,Second Class,Medium,Africa,Eastern Africa,TB-11250109
IT-2014-JB1604564-41676,2014-02-06,2014-02-09,Second Class,Medium,Europe,Southern Europe,JB-1604564
MX-2015-SG2060582-42294,2015-10-17,2015-10-21,Standard Class,Medium,LATAM,Central America,SG-2060582
TU-2014-RA9285134-41933,2014-10-21,2014-10-25,Standard Class,Medium,Asia Pacific,Western Asia,RA-9285134
MX-2012-RL1961518-41184,2012-10-02,2012-10-06,Standard Class,Medium,LATAM,South America,RL-1961518
ID-2012-EB1387059-41200,2012-10-18,2012-10-21,First Class,Critical,Asia Pacific,Southeastern Asia,EB-1387059
SF-2014-MG8205117-42000,2014-12-27,2014-12-30,First Class,High,Africa,Southern Africa,MG-8205117
EG-2014-MY829538-41878,2014-08-27,2014-08-31,Standard Class,High,Africa,North Africa,MY-829538
ES-2013-CS1250545-41543,2013-09-26,2013-09-28,Second Class,Critical,Europe,Western Europe,CS-1250545
ES-2015-KH16690120-42089,2015-03-26,2015-04-01,Standard Class,Low,Europe,Southern Europe,KH-16690120
MX-2014-HM1486018-41912,2014-09-30,2014-10-05,Standard Class,Medium,LATAM,South America,HM-1486018
US-2015-CA1196518-42346,2015-12-08,2015-12-14,Standard Class,Medium,LATAM,South America,CA-1196518
CA-2012-AY10555140-41268,2012-12-25,2012-12-29,Standard Class,Medium,USCA,Eastern US,AY-105551406
IT-2015-SR2042548-42264,2015-09-17,2015-09-22,Standard Class,Medium,Europe,Western Europe,SR-2042548
IT-2015-VG2179045-42197,2015-07-12,2015-07-14,Second Class,High,Europe,Western Europe,VG-2179045
MX-2015-DW13585132-42285,2015-10-08,2015-10-12,Standard Class,High,LATAM,Caribbean,DW-13585132
IN-2014-PS1904592-41990,2014-12-17,2014-12-22,Standard Class,Medium,Asia Pacific,Oceania,PS-1904592
ES-2013-JM1586564-41499,2013-08-13,2013-08-15,First Class,Critical,Europe,Southern Europe,JM-1586564
CA-2014-AR10570140-41835,2014-07-15,2014-07-20,Standard Class,Medium,USCA,Southern US,AR-105701408
MX-2013-ES1408018-41619,2013-12-11,2013-12-16,Standard Class,Medium,LATAM,South America,ES-1408018
TO-2013-LS7245131-41467,2013-07-12,2013-07-15,Second Class,Critical,Africa,Western Africa,LS-7245131
IN-2013-RE194507-41329,2013-02-24,2013-03-01,Standard Class,High,Asia Pacific,Oceania,RE-194507
IN-2015-JF1556527-42112,2015-04-18,2015-04-19,First Class,High,Asia Pacific,Eastern Asia,JF-1556527
IR-2015-TB1125060-42361,2015-12-23,2015-12-30,Standard Class,Low,Asia Pacific,Southern Asia,TB-1125060
US-2013-SH1997555-41612,2013-12-04,2013-12-08,Standard Class,High,LATAM,Central America,SH-1997555
IT-2014-MS1783045-41818,2014-06-28,2014-06-28,Same Day,Critical,Europe,Western Europe,MS-1783045
IT-2012-LH17155104-41255,2012-12-12,2012-12-17,Standard Class,High,Europe,Southern Europe,LH-17155104
IN-2012-TB2152059-41207,2012-10-25,2012-10-30,Standard Class,High,Asia Pacific,Southeastern Asia,TB-2152059
ID-2013-AB10255144-41522,2013-09-05,2013-09-08,Second Class,Medium,Asia Pacific,Southeastern Asia,AB-10255144
IN-2013-TH2111578-41447,2013-06-22,2013-06-27,Standard Class,Medium,Asia Pacific,Southeastern Asia,TH-2111578
US-2015-AH10585140-42192,2015-07-07,2015-07-07,Same Day,Critical,USCA,Southern US,AH-105851408
CA-2012-AH10585140-41207,2012-10-25,2012-10-29,Second Class,Medium,USCA,Western US,AH-105851404
CG-2014-LC688533-41768,2014-05-09,2014-05-11,First Class,High,Africa,Central Africa,LC-688533
IZ-2015-DW348061-42238,2015-08-22,2015-08-26,Standard Class,High,Asia Pacific,Western Asia,DW-348061
US-2015-FH1427528-42365,2015-12-27,2015-12-31,Standard Class,High,LATAM,South America,FH-1427528
CM-2014-AC66022-41786,2014-05-27,2014-05-31,Standard Class,High,Africa,Central Africa,AC-66022
IN-2015-EJ1372059-42319,2015-11-11,2015-11-11,Same Day,High,Asia Pacific,Southeastern Asia,EJ-1372059
CA-2014-AH10585140-41898,2014-09-16,2014-09-21,Standard Class,Medium,USCA,Western US,AH-105851404
IN-2015-RB1970527-42236,2015-08-20,2015-08-25,Standard Class,Medium,Asia Pacific,Eastern Asia,RB-1970527
CA-2015-AH10585140-42348,2015-12-10,2015-12-15,Standard Class,Medium,USCA,Central US,AH-105851402
ES-2014-EM1409545-41909,2014-09-27,2014-10-02,Standard Class,Medium,Europe,Western Europe,EM-1409545
IN-2014-LL1684066-41812,2014-06-22,2014-06-26,Standard Class,High,Asia Pacific,Eastern Asia,LL-1684066
IT-2015-ML1741048-42204,2015-07-19,2015-07-23,Standard Class,Medium,Europe,Western Europe,ML-1741048
ES-2014-MY17380120-41928,2014-10-16,2014-10-22,Standard Class,Medium,Europe,Southern Europe,MY-17380120
ID-2012-CR12730113-41237,2012-11-24,2012-11-28,Standard Class,High,Asia Pacific,Southeastern Asia,CR-12730113
IN-2014-BO1135058-41783,2014-05-24,2014-05-30,Standard Class,Medium,Asia Pacific,Southern Asia,BO-1135058
ES-2013-MG1814548-41380,2013-04-16,2013-04-21,Standard Class,Medium,Europe,Western Europe,MG-1814548
IN-2014-VP2176059-41703,2014-03-05,2014-03-09,Standard Class,High,Asia Pacific,Southeastern Asia,VP-2176059
IT-2015-JC1534045-42101,2015-04-07,2015-04-12,Standard Class,High,Europe,Western Europe,JC-1534045
ES-2012-MR1754564-41157,2012-09-05,2012-09-09,Standard Class,High,Europe,Southern Europe,MR-1754564
MX-2015-VG2180518-42265,2015-09-18,2015-09-18,Same Day,High,LATAM,South America,VG-2180518
IR-2015-DM301560-42019,2015-01-15,2015-01-19,Standard Class,High,Asia Pacific,Southern Asia,DM-301560
ES-2014-DD1357064-41816,2014-06-26,2014-07-01,Standard Class,High,Europe,Southern Europe,DD-1357064
US-2012-MG1789055-41172,2012-09-20,2012-09-24,Standard Class,High,LATAM,Central America,MG-1789055
ES-2015-BW11110139-42159,2015-06-04,2015-06-07,First Class,High,Europe,Northern Europe,BW-11110139
IN-2014-SC2069578-41888,2014-09-06,2014-09-10,Standard Class,High,Asia Pacific,Southeastern Asia,SC-2069578
MX-2013-JK1612018-41580,2013-11-02,2013-11-06,Standard Class,High,LATAM,South America,JK-1612018
ES-2014-PO1886564-41891,2014-09-09,2014-09-14,Standard Class,Medium,Europe,Southern Europe,PO-1886564
US-2015-AB10600140-42319,2015-11-11,2015-11-12,First Class,High,USCA,Western US,AB-106001404
ID-2015-GT14710118-42329,2015-11-21,2015-11-26,Standard Class,Medium,Asia Pacific,Eastern Asia,GT-14710118
MX-2015-AC1042082-42348,2015-12-10,2015-12-15,Standard Class,Medium,LATAM,Central America,AC-1042082
IN-2014-KN167057-41942,2014-10-30,2014-11-02,Second Class,Critical,Asia Pacific,Oceania,KN-167057
ES-2014-AB1016548-41822,2014-07-02,2014-07-09,Standard Class,Low,Europe,Western Europe,AB-1016548
MO-2014-FM421586-41901,2014-09-19,2014-09-25,Standard Class,Low,Africa,North Africa,FM-421586
MX-2013-SP2092018-41397,2013-05-03,2013-05-09,Standard Class,Medium,LATAM,South America,SP-2092018
MX-2015-MZ1733555-42333,2015-11-25,2015-11-28,First Class,High,LATAM,Central America,MZ-1733555
IN-2012-NM1852058-41101,2012-07-11,2012-07-18,Standard Class,Low,Asia Pacific,Southern Asia,NM-1852058
IN-2015-GW1460558-42173,2015-06-18,2015-06-21,First Class,High,Asia Pacific,Southern Asia,GW-1460558
MX-2015-AR1057039-42307,2015-10-30,2015-11-03,Standard Class,High,LATAM,Central America,AR-1057039
IN-2015-JO1514566-42172,2015-06-17,2015-06-22,Standard Class,Medium,Asia Pacific,Eastern Asia,JO-1514566
CG-2014-TC1153533-41879,2014-08-28,2014-08-28,Same Day,High,Africa,Central Africa,TC-1153533
US-2012-RR1952518-41270,2012-12-27,2012-12-29,Second Class,High,LATAM,South America,RR-1952518
CA-2013-AB10600140-41608,2013-11-30,2013-12-03,First Class,High,USCA,Southern US,AB-106001408
IN-2013-VS218207-41602,2013-11-24,2013-11-25,First Class,Medium,Asia Pacific,Oceania,VS-218207
CA-2012-AB10600140-41230,2012-11-17,2012-11-24,Standard Class,Low,USCA,Central US,AB-106001402
MX-2013-BD1172539-41275,2013-01-01,2013-01-03,First Class,High,LATAM,Central America,BD-1172539
ES-2013-EB1397564-41405,2013-05-11,2013-05-15,Standard Class,High,Europe,Southern Europe,EB-1397564
IN-2014-RP1939058-41993,2014-12-20,2014-12-25,Second Class,Medium,Asia Pacific,Southern Asia,RP-1939058
IN-2013-AR1034559-41598,2013-11-20,2013-11-20,Same Day,High,Asia Pacific,Southeastern Asia,AR-1034559
GH-2015-DW348049-42195,2015-07-10,2015-07-13,First Class,Medium,Africa,Western Africa,DW-348049
MX-2014-MW1823539-41864,2014-08-13,2014-08-18,Second Class,Medium,LATAM,Central America,MW-1823539
CA-2013-AB10600140-41322,2013-02-17,2013-02-21,Standard Class,Medium,USCA,Western US,AB-106001404
ID-2013-JL1585092-41317,2013-02-12,2013-02-12,Same Day,Critical,Asia Pacific,Oceania,JL-1585092
IN-2013-NG1843058-41319,2013-02-14,2013-02-17,First Class,Critical,Asia Pacific,Southern Asia,NG-1843058
MX-2014-GH1441082-41835,2014-07-15,2014-07-15,Same Day,High,LATAM,Central America,GH-1441082
IN-2013-SW20755113-41612,2013-12-04,2013-12-08,Standard Class,Medium,Asia Pacific,Southeastern Asia,SW-20755113
ES-2015-SB2018564-42015,2015-01-11,2015-01-18,Standard Class,Low,Europe,Southern Europe,SB-2018564
CG-2012-DA345033-41002,2012-04-03,2012-04-06,First Class,Medium,Africa,Central Africa,DA-345033
ES-2015-JL1523545-42239,2015-08-23,2015-08-25,First Class,High,Europe,Western Europe,JL-1523545
MX-2014-TG2164018-41805,2014-06-15,2014-06-20,Standard Class,High,LATAM,South America,TG-2164018
TU-2012-MY8295134-41137,2012-08-16,2012-08-18,First Class,High,Asia Pacific,Western Asia,MY-8295134
IN-2014-KF1628527-41824,2014-07-04,2014-07-11,Standard Class,Low,Asia Pacific,Eastern Asia,KF-1628527
IN-2015-GM1445558-42273,2015-09-26,2015-09-30,Second Class,Medium,Asia Pacific,Southern Asia,GM-1445558
ES-2012-DW1348045-41163,2012-09-11,2012-09-14,First Class,High,Europe,Western Europe,DW-1348045
CA-2015-AC10615140-42250,2015-09-03,2015-09-07,Standard Class,High,USCA,Eastern US,AC-106151406
ES-2013-DB12910139-41443,2013-06-18,2013-06-21,Second Class,High,Europe,Northern Europe,DB-12910139
UP-2015-NG8430137-42351,2015-12-13,2015-12-17,Second Class,High,Europe,Eastern Europe,NG-8430137
SF-2013-RA9285117-41396,2013-05-02,2013-05-04,First Class,Critical,Africa,Southern Africa,RA-9285117
ES-2013-CT11995139-41378,2013-04-14,2013-04-19,Standard Class,Medium,Europe,Northern Europe,CT-11995139
ES-2015-JA15970125-42207,2015-07-22,2015-07-24,Second Class,Medium,Europe,Western Europe,JA-15970125
IT-2012-RA1991545-41068,2012-06-08,2012-06-09,First Class,High,Europe,Western Europe,RA-1991545
SG-2013-EH4005111-41331,2013-02-26,2013-03-02,Standard Class,High,Africa,Western Africa,EH-4005111
ES-2014-ML1804045-41972,2014-11-29,2014-12-06,Standard Class,Medium,Europe,Western Europe,ML-1804045
ES-2014-BC1112548-41789,2014-05-30,2014-06-02,First Class,High,Europe,Western Europe,BC-1112548
IN-2015-SR207407-42276,2015-09-29,2015-10-04,Standard Class,High,Asia Pacific,Oceania,SR-207407
